month_number,month,product_category,total_revenue
01,January,agro_industry_and_commerce,6404.27
01,January,air_conditioning,5915.88
01,January,art,2864.21
01,January,audio,4233.39
01,January,auto,47140.74
01,January,baby,41958.99
01,January,bed_bath_table,95644.46
01,January,books_general_interest,3096.92
01,January,books_imported,648.67
01,January,books_technical,1418.83
01,January,christmas_supplies,1104.46
01,January,cine_photo,223.78
01,January,computers,10518.97
01,January,computers_accessories,100605.83
01,January,consoles_games,15476.02
01,January,construction_tools_construction,11088.32
01,January,construction_tools_lights,2554.77
01,January,construction_tools_safety,2424.76
01,January,cool_stuff,54497.38
01,January,costruction_tools_garden,4505.74
01,January,costruction_tools_tools,695.13
01,January,diapers_and_hygiene,188.45
01,January,drinks,3063.59
01,January,dvds_blu_ray,144.38
01,January,electronics,22426.98
01,January,fashio_female_clothing,299.29
01,January,fashion_bags_accessories,11985.66
01,January,fashion_male_clothing,821.28
01,January,fashion_shoes,871.32
01,January,fashion_sport,145.34
01,January,fashion_underwear_beach,1048.17
01,January,fixed_telephony,3603.11
01,January,flowers,438.26
01,January,food,1211.89
01,January,food_drink,529.22
01,January,furniture_bedroom,1213.8
01,January,furniture_decor,84106.01
01,January,furniture_living_room,4381.17
01,January,furniture_mattress_and_upholstery,1270.4
01,January,garden_tools,42045.0
01,January,health_beauty,97255.6
01,January,home_appliances,2194.93
01,January,home_appliances_2,11378.17
01,January,home_comfort_2,95.57
01,January,home_confort,3435.61
01,January,home_construction,6758.04
01,January,housewares,49236.49
01,January,industry_commerce_and_business,4467.45
01,January,kitchen_dining_laundry_garden_furniture,6077.42
01,January,la_cuisine,130.03
01,January,luggage_accessories,22643.06
01,January,market_place,1594.98
01,January,music,77.31
01,January,musical_instruments,17103.06
01,January,office_furniture,27550.29
01,January,party_supplies,170.26
01,January,perfumery,29038.48
01,January,pet_shop,13870.0
01,January,security_and_services,209.06
01,January,signaling_and_security,1295.97
01,January,small_appliances,18630.02
01,January,small_appliances_home_oven_and_coffee,385.13
01,January,sports_leisure,116398.87
01,January,stationery,49788.4
01,January,tablets_printing_image,186.77
01,January,telephony,23919.29
01,January,toys,30411.76
01,January,watches_gifts,89830.72
02,February,agro_industry_and_commerce,8390.73
02,February,air_conditioning,6332.38
02,February,art,1560.83
02,February,audio,3286.43
02,February,auto,63293.98
