city,number_of_orders,total_revenue
abadia dos dourados,3,413.5
abadiania,1,1025.52
abaete,12,1946.81
abaetetuba,11,4672.27
abaiara,2,332.15
abaira,2,203.0
abare,2,224.73
abatia,3,220.19
abdon batista,1,156.7
abelardo luz,6,797.58
abrantes,2,761.36
abre campo,5,367.29
abreu e lima,11,2871.92
acaiaca,2,207.9
acailandia,7,1233.48
acajutiba,1,50.95
acarau,8,1639.94
acari,1,412.43
acegua,2,282.39
acopiara,7,901.67
acreuna,7,1306.45
acu,3,749.59
acucena,1,54.11
adamantina,36,6154.09
adhemar de barros,1,166.29
adolfo,5,441.59
adrianopolis,1,89.17
adustina,1,102.27
afogados da ingazeira,8,1596.39
afonso claudio,11,1767.92
afranio,2,448.04
agisse,1,56.37
agrestina,1,2066.34
agrolandia,1,60.91
agronomica,2,281.5
agua boa,18,3336.82
agua branca,5,661.1
agua clara,2,259.17
agua comprida,2,140.65
agua doce,1,336.05
agua doce do norte,4,463.52
agua fria de goias,1,167.81
agua limpa,1,416.8
agua nova,1,77.67
agua preta,1,147.34
agua santa,2,227.59
aguai,10,2509.95
aguas belas,6,1041.4
aguas claras,1,116.96
aguas da prata,10,1257.57
aguas de lindoia,22,3758.36
aguas de santa barbara,3,202.03
aguas de sao pedro,2,304.03
aguas formosas,5,1580.57
aguas frias,1,318.98
aguas lindas de goias,24,2788.8
aguas mornas,1,104.52
aguas vermelhas,3,692.89
agudo,1,32.1
agudos,16,1508.95
aguia branca,2,199.94
aimores,10,1143.77
aiuaba,1,147.38
aiuruoca,4,365.03
ajapi,1,121.34
ajuricaba,2,245.37
alagoa,1,93.98
alagoa grande,1,178.52
alagoa nova,1,164.29
alagoinha,2,339.52
alagoinhas,40,7428.33
alambari,3,228.94
alcantara,1,464.86
alcinopolis,6,952.35
alcobaca,4,1481.9
alegre,17,3265.01
alegrete,35,5296.24
alegrete do piaui,1,173.88
alegria,1,58.28
alem paraiba,28,3548.32
alexandra,1,51.31
alexandria,2,221.92
alexandrita,1,130.0
alexania,5,568.25
alfenas,43,6539.45
alfredo chaves,7,1052.61
alfredo marcondes,1,169.23
alfredo vasconcelos,3,616.74
alfredo wagner,2,844.67
alhandra,2,1307.91
alianca,1,89.93
alianca do tocantins,2,264.0
almas,1,113.56
almenara,14,3212.33
almino afonso,1,470.01
almirante tamandare,35,5041.83
almirante tamandare do sul,1,65.0
alpercata,2,260.77
alpestre,1,136.98
alpinopolis,7,969.45
alta floresta,12,3951.08
alta floresta d'oeste,3,805.5
altamira,25,6399.84
altamira do parana,2,307.11
altaneira,2,496.26
alterosa,3,308.64
altinho,2,449.82
altinopolis,4,1506.04
alto alegre,3,366.41
alto alegre do iguacu,2,227.25
alto alegre do maranhao,1,123.32
alto alegre do pindare,1,259.56
alto araguaia,5,1228.13
alto boa vista,5,581.99
alto caparao,2,522.08
alto do rodrigues,8,3346.7
alto garcas,2,340.06
alto horizonte,2,285.15
alto jequitiba,3,275.43
alto paraiso,2,1333.91
alto paraiso de goias,9,1963.31
alto parana,2,451.84
alto parnaiba,5,948.1
alto piquiri,1,432.5
alto rio doce,4,278.55
alto rio novo,2,327.23
alto santo,3,801.01
alto sao joao,1,73.25
