zipcode,longitude,latitude,number_of_orders
1003,-46.6353131122684,-23.5490324454671,1
1004,-46.6351216142017,-23.5501159031392,2
1005,-46.6356058899532,-23.5498190918691,6
1006,-46.6366936383519,-23.5505243083559,2
1007,-46.6373016407178,-23.5503925248427,4
1008,-46.6346391355893,-23.5442549315453,4
1009,-46.636587926597,-23.54693540438,7
1011,-46.6360316231549,-23.5476395503206,5
1012,-46.6353605378845,-23.5477623033643,3
1013,-46.6342636964915,-23.5469232084367,3
1014,-46.633830233972,-23.5464353433262,4
1015,-46.630869563969,-23.5448263461298,2
1016,-46.6334906276761,-23.5484951287726,1
1017,-46.6311663691499,-23.5500109119974,3
1019,-46.6308022471579,-23.5521518834324,2
1020,-46.6284406588955,-23.5522354710023,6
1021,-46.6322486795833,-23.5451676947025,2
1022,-46.6334536748514,-23.5449866050551,1
1023,-46.6309428362571,-23.5426029569796,1
1024,-46.6298990878122,-23.5413895210539,2
1025,-46.6283479287932,-23.5399209365479,1
1026,-46.6328439141498,-23.5394947995863,4
1027,-46.6307639110451,-23.5383011668013,3
1030,-46.6329300982458,-23.5383639045242,3
1031,-46.6334931382077,-23.536864121011,4
1032,-46.6347783752667,-23.5384181040741,2
1033,-46.6363948159733,-23.5403213047492,6
1035,-46.6416072232961,-23.5415779617115,7
1036,-46.641317820561,-23.5417000238618,3
1037,-46.6392920480017,-23.5456212811527,3
1038,-46.6381968388499,-23.5426796762991,2
1041,-46.6394993062784,-23.5443921648681,2
1042,-46.6403030944948,-23.5448735981015,6
1043,-46.6407876211552,-23.546656718016,1
1044,-46.6413269357436,-23.5457510502337,3
1045,-46.6418937881008,-23.5415937629696,1
1046,-46.6448202983716,-23.5460811270355,18
1047,-46.6412251697155,-23.5462731124127,6
1048,-46.640169240637,-23.5474489186625,7
1049,-46.6369945710657,-23.5453065931099,2
1050,-46.6455990066651,-23.5497735165042,7
1102,-46.6294238752381,-23.5226102164868,1
1103,-46.6317477084367,-23.5353886455653,6
1105,-46.6306348627446,-23.533744232587,2
1106,-46.6264056638871,-23.5324963560795,3
1107,-46.633973658607,-23.522004902014,3
1108,-46.6324154521322,-23.5237595753649,1
1120,-46.639216010416,-23.5307604862658,3
1121,-46.6343921415546,-23.524588477379,4
1122,-46.6372603914825,-23.5312807677015,7
1123,-46.6349052635179,-23.5293071801315,6
1124,-46.6318834890357,-23.5273673927232,1
1125,-46.6388943213977,-23.5290504970858,3
1127,-46.6448001602805,-23.5277350402504,3
1129,-46.6421317760114,-23.5259237463212,5
1131,-46.6474755483005,-23.5216418320735,8
1132,-46.6498008964741,-23.519291804605,3
1134,-46.6531159131789,-23.5186768070774,3
1135,-46.6529629345028,-23.5212210313636,7
1136,-46.6669441676381,-23.52350959839,1
1137,-46.6542715654972,-23.5195727427145,4
1138,-46.6556235982458,-23.5188254074384,5
1139,-46.6613841382077,-23.5207603760748,6
1140,-46.6674295900801,-23.5179301743032,6
1141,-46.665840000981,-23.52011919678,5
1144,-46.6720157987766,-23.5236235073576,2
1150,-46.6627560714698,-23.5322553033643,5
1151,-46.6603096218477,-23.5277881917883,9
1152,-46.6521484607306,-23.5291689328294,5
1153,-46.6564515457903,-23.5281186988574,9
1154,-46.6617468147326,-23.5315811837382,9
1155,-46.6644042033008,-23.5287880824341,4
1156,-46.6646660574471,-23.5298272739339,5
1201,-46.6493562973916,-23.5343572595072,7
1202,-46.6509104218651,-23.5302439036875,8
1203,-46.6443874386578,-23.5371193796815,5
1204,-46.6444162718564,-23.5368011523746,5
1205,-46.6459257145536,-23.5317604710023,1
1206,-46.6430520283052,-23.5355357993249,3
1207,-46.640393035807,-23.5368406203185,4
1208,-46.6397147149576,-23.5408225073576,1
1209,-46.6393783359686,-23.5394467646431,4
1210,-46.643855280599,-23.5408609905649,6
1211,-46.651605049299,-23.535822235829,6
1213,-46.6400375888107,-23.5364002800507,2
1214,-46.6414131388535,-23.5356958134668,6
1215,-46.6492761823532,-23.5379823008541,3
1216,-46.6514070020632,-23.5359728566797,5
1217,-46.6494066361302,-23.5338447732414,3
1218,-46.6506686683306,-23.531544680824,5
1219,-46.6452771380921,-23.5402235739513,7
1220,-46.6454739816781,-23.542758,8
1221,-46.649001960038,-23.5460153294477,10
1222,-46.6498946056033,-23.5471595764614,18
1223,-46.6482729970858,-23.5437725178892,11
1224,-46.6488306618097,-23.5417185473195,23
1225,-46.6482517826705,-23.5406471477272,5
1226,-46.6550276174043,-23.5344785656414,14
1227,-46.6544308981282,-23.5372901179808,15
1228,-46.659018341393,-23.5483927965549,12
1229,-46.6573392027526,-23.541087341393,18
1230,-46.6543244490738,-23.5327347346644,25
1231,-46.6596418411045,-23.5367081559813,12
1232,-46.6550731311386,-23.5367673744014,13
1233,-46.6627836051993,-23.5402994707139,8
1234,-46.6636172205262,-23.5370554998558,6
1235,-46.6642467860233,-23.5364597185643,2
1237,-46.6698227992093,-23.5443176935773,1
1238,-46.6593176215593,-23.541952694414,14
1239,-46.6574598115586,-23.5487816930291,10
1240,-46.6586120943793,-23.5437869428414,15
1241,-46.6569934730798,-23.5456766086618,6
1242,-46.6558032726932,-23.5475266269836,7
1243,-46.6550982979399,-23.5494697790698,10
1244,-46.6596802234404,-23.5449933635813,6
1246,-46.6664048798257,-23.5525906938658,1
1248,-46.6678915510704,-23.5473075473195,1
1250,-46.6725508380461,-23.5481063355646,2
1251,-46.6739927350685,-23.5470082631138,3
1252,-46.6771084154885,-23.5417320519072,6
1253,-46.6802447010791,-23.5432079697329,1
1254,-46.6819141913556,-23.5419678548387,3
1255,-46.6811982608922,-23.5457824607305,2
1256,-46.6832930496855,-23.5485675359512,1
1257,-46.6843805779907,-23.5450721734664,13
1258,-46.685597180824,-23.5449931013042,18
1259,-46.6839463730164,-23.543356526776,5
1301,-46.6552580296902,-23.5508127999018,7
1302,-46.6435774751573,-23.5476509625196,6
1303,-46.6481824052167,-23.5500113294477,13
1304,-46.652991998615,-23.552179449622,7
1305,-46.658022684979,-23.5560830496855,3
1306,-46.6496736391886,-23.554333801835,21
1307,-46.6541244168735,-23.5493606996941,29
1308,-46.6522623440187,-23.5551825051359,11
1309,-46.6569289072942,-23.5573236885857,12
1310,-46.6615417904381,-23.5569269136708,15
1311,-46.6576104286744,-23.5605663594264,27
1312,-46.6482778529055,-23.5536460094351,9
1313,-46.6502531972915,-23.556513287803,13
1314,-46.6415304302036,-23.550271219805,5
1315,-46.6406833873275,-23.5525929883432,13
1316,-46.6397738906457,-23.5529815809048,10
1317,-46.6453804922201,-23.5628109477271,16
1318,-46.6473163354203,-23.5650381026892,8
1319,-46.6402129730798,-23.5515626086618,5
1320,-46.6387774936234,-23.5573379372728,2
1321,-46.6408918857983,-23.558961038577,16
1322,-46.6435696372554,-23.5641899023025,18
1323,-46.6409689154143,-23.5636009281087,10
1324,-46.6433907547753,-23.5513594540654,1
1325,-46.6440907003866,-23.5604041501529,4
1326,-46.6451720785389,-23.5589082850424,3
1327,-46.6451517253736,-23.5652192966992,11
1328,-46.6453377922558,-23.5554294127185,4
1329,-46.6466187989208,-23.5631457449362,12
1330,-46.6498608362571,-23.5568176239252,6
1331,-46.6503277425703,-23.5623275209476,5
1332,-46.653127155433,-23.5598745961683,2
1333,-46.6518421670898,-23.5635699389462,7
1401,-46.6510035719772,-23.5697475719772,9
1402,-46.6699806703775,-23.584066912127,3
1403,-46.6531509965375,-23.5703473580414,17
1404,-46.6570937046858,-23.5699432697789,11
1405,-46.656982707196,-23.566964123781,10
1406,-46.6580107399446,-23.5658200654972,2
1407,-46.6751675065209,-23.5784800999192,9
1408,-46.663421291419,-23.5694387144093,8
1409,-46.6575938690056,-23.5613664276935,15
1410,-46.6565707553522,-23.5585957374344,14
1411,-46.6648331359655,-23.5685468503802,10
1412,-46.6668408506838,-23.5644233366611,2
1413,-46.6607014263085,-23.558631830977,3
1414,-46.6676038241676,-23.5636227654798,4
1415,-46.6545530954758,-23.551840037192,29
1416,-46.6670639017542,-23.5595103949449,12
1417,-46.7146062814357,-23.4885096253102,5
1418,-46.6565667083536,-23.5631217351002,2
1419,-46.6626733477696,-23.557767998615,18
1420,-46.6519153256968,-23.5685181376594,12
1421,-46.6612042533903,-23.5623315128975,11
1422,-46.6660792610364,-23.5597844177102,15
1423,-46.6569951397369,-23.5689182031566,28
1424,-46.6611789286744,-23.5681623594264,17
1425,-46.6608232769923,-23.572330354983,4
1426,-46.6696880762172,-23.562597147293,1
1427,-46.6611229335219,-23.5735151179526,2
1429,-46.6630739845923,-23.575241085204,3
1430,-46.6438187997234,-23.8816293538291,2
1431,-46.6628828185121,-23.5781666383806,1
1432,-46.6642219869583,-23.5744206916441,1
1433,-46.6684867975359,-23.5818848875873,3
1434,-46.6694526011599,-23.5779170085983,4
1435,-46.6696317726931,-23.5796819089676,2
1438,-46.6729925805008,-23.5703255770097,1
1440,-46.674418610595,-23.564485277829,1
1442,-46.6752908569828,-23.5637022674005,4
1443,-46.6847180579954,-23.5675086500087,1
1444,-46.745444682209,-23.6056756588955,2
1445,-46.6891054308961,-23.5683463827399,3
1447,-46.6807107664607,-23.5725176791506,2
1448,-46.6781748213976,-23.5774166960875,3
1449,-46.6814231035259,-23.5762921990017,1
1450,-46.685052,-23.5749254779272,2
1451,-46.6850805509262,-23.5834890657856,19
1452,-46.691994393648,-23.5688315307984,13
1453,-46.6864627003866,-23.5834356633389,14
1454,-46.686380631831,-23.5821488726123,14
1455,-46.687518880374,-23.5806907049743,9
1456,-46.6901182969876,-23.578504155433,4
1457,-46.6909282039933,-23.5788355006925,1
1501,-46.6356908973108,-23.5519314837556,5
1502,-46.6356990528881,-23.5549832483987,1
1503,-46.6355992384735,-23.5554882408279,6
1504,-46.6389921011599,-23.5637585831265,11
