state,number_of_orders,total_revenue
AC,81,19669.7
AL,411,96229.4
AM,147,27835.73
AP,68,16262.8
BA,3358,611506.67
CE,1327,275606.3
DF,2125,353229.44
ES,2025,324801.91
GO,2007,347706.93
MA,740,151171.99
MG,11544,1856161.49
MS,709,135956.67
MT,903,186168.96
PA,970,217647.11
PB,532,140987.81
PE,1648,322237.69
PI,493,108132.28
PR,4998,800935.44
RJ,12762,2129681.98
RN,482,101895.08
RO,247,57558.02
RR,46,10064.62
RS,5432,885826.76
SC,3612,610213.6
SE,345,73032.32
SP,41375,5921678.12
TO,279,61354.42
