product_category,number_of_products,average_price,average_freight_value
bed_bath_table,11115,93.3,18.4
health_beauty,9670,130.2,18.9
sports_leisure,8641,114.3,19.5
furniture_decor,8334,87.6,20.7
computers_accessories,7827,116.5,18.8
housewares,6964,90.8,21.0
watches_gifts,5991,201.1,16.8
telephony,4545,71.2,15.7
garden_tools,4347,111.6,22.8
auto,4235,140.0,21.9
toys,4117,117.5,18.8
cool_stuff,3796,167.4,22.1
perfumery,3419,116.7,15.9
baby,3065,134.3,22.3
electronics,2767,57.9,16.8
stationery,2517,91.8,18.6
fashion_bags_accessories,2031,75.2,15.5
pet_shop,1947,110.1,20.3
office_furniture,1691,162.0,40.6
consoles_games,1137,138.5,17.4
luggage_accessories,1092,128.6,27.9
construction_tools_construction,929,155.7,22.2
home_appliances,771,104.0,19.2
musical_instruments,680,281.6,27.4
small_appliances,679,280.8,23.6
home_construction,604,137.6,22.9
books_general_interest,553,84.7,16.6
food,510,57.6,14.3
furniture_living_room,503,137.0,35.7
home_confort,434,135.0,19.6
drinks,379,59.2,15.1
audio,364,139.3,15.7
market_place,311,91.2,17.5
construction_tools_lights,304,135.1,24.9
air_conditioning,297,185.3,22.7
kitchen_dining_laundry_garden_furniture,281,164.9,42.7
food_drink,278,54.6,16.2
industry_commerce_and_business,268,148.0,29.4
books_technical,267,71.5,16.0
fixed_telephony,264,225.7,17.6
fashion_shoes,262,89.9,18.8
home_appliances_2,238,476.1,44.5
costruction_tools_garden,238,108.0,22.3
agro_industry_and_commerce,212,342.1,27.6
art,209,115.8,19.4
computers,203,1098.3,48.5
signaling_and_security,199,108.1,32.7
construction_tools_safety,194,209.0,20.2
christmas_supplies,153,57.5,21.1
fashion_male_clothing,132,81.8,16.3
fashion_underwear_beach,131,72.8,14.6
furniture_bedroom,109,183.8,42.5
costruction_tools_tools,103,154.4,19.7
tablets_printing_image,83,90.7,14.8
small_appliances_home_oven_and_coffee,76,624.3,36.2
cine_photo,72,96.3,17.4
dvds_blu_ray,64,93.7,20.1
books_imported,60,77.3,12.8
fashio_female_clothing,48,58.4,13.0
party_supplies,43,104.3,19.3
diapers_and_hygiene,39,40.2,14.7
music,38,158.8,18.2
furniture_mattress_and_upholstery,38,114.9,42.9
flowers,33,33.6,14.8
home_comfort_2,30,25.3,13.7
fashion_sport,30,70.7,19.3
arts_and_craftmanship,24,75.6,15.4
la_cuisine,14,146.8,23.8
cds_dvds_musicals,14,52.1,16.1
fashion_childrens_clothes,8,71.2,11.9
security_and_services,2,141.6,20.6
