product_category,avg_review_score
cds_dvds_musicals,4.6
fashion_childrens_clothes,4.5
flowers,4.4
costruction_tools_tools,4.4
books_technical,4.4
books_imported,4.4
books_general_interest,4.4
small_appliances_home_oven_and_coffee,4.3
luggage_accessories,4.3
food_drink,4.3
fashion_sport,4.3
toys,4.2
stationery,4.2
pet_shop,4.2
perfumery,4.2
musical_instruments,4.2
music,4.2
home_appliances,4.2
food,4.2
fashion_shoes,4.2
computers,4.2
cine_photo,4.2
tablets_printing_image,4.1
sports_leisure,4.1
small_appliances,4.1
signaling_and_security,4.1
industry_commerce_and_business,4.1
housewares,4.1
home_appliances_2,4.1
health_beauty,4.1
furniture_bedroom,4.1
fashion_bags_accessories,4.1
dvds_blu_ray,4.1
costruction_tools_garden,4.1
cool_stuff,4.1
construction_tools_lights,4.1
construction_tools_construction,4.1
auto,4.1
arts_and_craftmanship,4.1
watches_gifts,4.0
market_place,4.0
la_cuisine,4.0
kitchen_dining_laundry_garden_furniture,4.0
garden_tools,4.0
fashion_underwear_beach,4.0
electronics,4.0
drinks,4.0
consoles_games,4.0
christmas_supplies,4.0
baby,4.0
air_conditioning,4.0
agro_industry_and_commerce,4.0
telephony,3.9
home_construction,3.9
furniture_living_room,3.9
furniture_decor,3.9
computers_accessories,3.9
bed_bath_table,3.9
art,3.9
party_supplies,3.8
home_confort,3.8
furniture_mattress_and_upholstery,3.8
fashio_female_clothing,3.8
construction_tools_safety,3.8
audio,3.8
fixed_telephony,3.7
home_comfort_2,3.6
fashion_male_clothing,3.6
office_furniture,3.5
diapers_and_hygiene,3.3
security_and_services,2.5
