product_category,quantity_sold,total_revenue
health_beauty,9670,1441248.07
watches_gifts,5991,1305541.61
bed_bath_table,11115,1241681.72
sports_leisure,8641,1156656.48
computers_accessories,7827,1059272.4
furniture_decor,8334,902511.79
housewares,6964,778397.77
cool_stuff,3796,719329.95
auto,4235,685384.32
garden_tools,4347,584219.21
toys,4117,561372.55
baby,3065,480118.0
perfumery,3419,453338.71
telephony,4545,394883.32
office_furniture,1691,342532.65
stationery,2517,277741.71
pet_shop,1947,253876.65
computers,203,232799.43
musical_instruments,680,210137.37
electronics,2767,206825.06
small_appliances,679,206668.83
fashion_bags_accessories,2031,184273.54
consoles_games,1137,177293.24
luggage_accessories,1092,170875.21
construction_tools_construction,929,165328.0
home_appliances_2,238,123917.92
home_construction,604,96920.36
home_appliances,771,94990.43
furniture_living_room,503,86884.73
agro_industry_and_commerce,212,78374.07
home_confort,434,67073.27
fixed_telephony,264,64220.81
air_conditioning,297,61774.19
kitchen_dining_laundry_garden_furniture,281,58327.8
audio,364,56398.94
books_general_interest,553,56052.4
small_appliances_home_oven_and_coffee,76,50193.57
construction_tools_lights,304,48663.8
industry_commerce_and_business,268,47554.29
construction_tools_safety,194,44463.62
food,510,36664.44
market_place,311,33834.53
costruction_tools_garden,238,31027.29
fashion_shoes,262,28481.64
art,209,28247.81
drinks,379,28169.95
signaling_and_security,199,28017.05
furniture_bedroom,109,24661.01
books_technical,267,23379.12
food_drink,278,19687.47
costruction_tools_tools,103,17934.17
fashion_male_clothing,132,12950.23
christmas_supplies,153,12030.12
fashion_underwear_beach,131,11457.74
tablets_printing_image,83,8754.61
cine_photo,72,8189.66
dvds_blu_ray,64,7288.13
music,38,6724.86
furniture_mattress_and_upholstery,38,5998.54
books_imported,60,5409.7
party_supplies,43,5313.15
fashio_female_clothing,48,3425.39
fashion_sport,30,2697.64
la_cuisine,14,2388.54
arts_and_craftmanship,24,2184.14
diapers_and_hygiene,39,2141.27
flowers,33,1598.91
home_comfort_2,30,1170.58
cds_dvds_musicals,14,954.99
fashion_childrens_clothes,8,665.36
security_and_services,2,324.51
