seller,seller_city,estimated_delivery_time,actual_delivery_time,variance
933446,curitiba,89.35,24.03,65.0
0b0910,sao paulo,79.38,18.54,61.0
fa5fdc,santo andre,64.47,7.06,57.0
ffff56,campinas,60.05,12.5,48.0
432c67,sao paulo,54.22,6.68,48.0
ae9690,sao paulo,51.02,4.48,47.0
939f6e,bauru,57.28,9.9,47.0
58e4b3,colombo,54.54,7.16,47.0
4bde61,carazinho,57.52,10.62,47.0
f5b846,sao paulo,52.08,6.71,45.0
bac44f,sao paulo,54.05,8.71,45.0
5bba18,itajobi,52.42,7.07,45.0
fedaed,niteroi,52.16,8.62,44.0
6dc9be,sao paulo,65.42,21.72,44.0
b92e3c,uba,58.52,16.31,42.0
c12d74,sao paulo,52.45,11.24,41.0
033618,ibitinga,54.2,13.06,41.0
8b1111,igaracu do tiete,52.06,11.91,40.0
3a52d6,aguas claras df,46.64,6.34,40.0
024b56,sao paulo,58.16,18.19,40.0
0f519b,ibitinga,51.49,12.27,39.0
bb3dca,sao paulo,48.39,10.65,38.0
4b9049,bage,50.07,11.88,38.0
455bef,resende,49.64,12.44,37.0
57a834,santa rosa,42.4,6.11,36.0
43402b,ribeirao pires,52.11,16.23,36.0
d4f91e,guaratingueta,52.59,17.23,35.0
5f0057,sao paulo,41.7,7.04,35.0
1fa2d3,sao paulo,41.46,6.26,35.0
d4d99b,sao paulo,53.49,19.08,34.0
360677,sao caetano do sul,50.01,15.82,34.0
13e85a,pedreira,52.05,17.72,34.0
c353f8,porto alegre,43.04,9.96,33.0
6624bc,belo horizonte,49.06,15.8,33.0
499185,porto alegre,44.44,11.12,33.0
2bdb95,sao paulo,39.08,5.85,33.0
f23541,bariri,38.71,6.28,32.0
db1f0f,pinhais,41.99,9.61,32.0
c9a06e,brasilia,43.87,11.49,32.0
c43d92,rio de janeiro,53.01,21.5,32.0
5bc237,uberlandia,44.32,12.48,32.0
ed49da,sao paulo,52.23,21.39,31.0
dd5450,joinville,38.49,7.18,31.0
a9ae44,santo andre,44.45,13.34,31.0
934ed5,curitiba,44.45,13.13,31.0
c87abc,sao paulo,40.89,10.75,30.0
c3251e,porto ferreira,42.78,13.26,30.0
abe021,curitiba,48.3,17.93,30.0
76d336,sorocaba,41.17,11.5,30.0
740205,caxias do sul,33.87,3.48,30.0
3faf68,holambra,46.06,16.16,30.0
28872d,caxias do sul,34.04,4.04,30.0
011b0e,pompeia,54.7,25.18,30.0
bbf4a8,curitiba,31.52,3.01,29.0
ac9b01,mogi das cruzes,39.21,9.8,29.0
8a8761,curitiba,38.34,8.86,29.0
747e73,vitoria de santo antao,39.85,10.69,29.0
723a46,"novo hamburgo, rio grande do sul, brasil",37.04,8.0,29.0
ed8590,londrina,49.87,22.08,28.0
c7dcd3,belo horizonte,53.58,25.35,28.0
c398bc,rio de janeiro,31.23,3.7,28.0
7a9c12,sao caetano do sul,40.74,12.84,28.0
788136,bento goncalves,37.12,9.04,28.0
48e954,porto alegre,36.18,8.07,28.0
2cb470,curitiba,44.97,16.48,28.0
1b65c1,rio do sul,36.78,8.77,28.0
186cdd,rio negrinho,36.53,8.9,28.0
fc4751,londrina,35.34,8.01,27.0
ea4e9c,palhoca,36.67,9.2,27.0
c97aa4,novo hamburgo,38.13,10.81,27.0
b9ec22,brasilia,33.21,6.53,27.0
7c4402,sao caetano do sul,34.31,7.12,27.0
5151ae,marilia,43.89,17.38,27.0
4d600e,entre rios do oeste,40.29,12.94,27.0
2eeb65,sao jose dos campos,38.87,12.21,27.0
2d3463,sao paulo,38.15,10.83,27.0
2aafae,porto alegre,35.78,8.84,27.0
19a7c9,itaipulandia,52.32,25.19,27.0
f9f68d,sumare,38.17,11.76,26.0
e1bed6,mogi guacu,34.23,8.61,26.0
de66a6,rio de janeiro,40.6,14.72,26.0
cb810b,niteroi,38.37,12.3,26.0
c74f14,sao miguel do oeste,50.2,24.23,26.0
a5ff20,sao paulo,31.76,5.64,26.0
a213f1,maringa,34.32,8.35,26.0
80cfd4,sao paulo,40.56,14.25,26.0
804287,maringa,35.51,9.16,26.0
725af0,claudio,39.72,13.67,26.0
70b52a,sao paulo,38.1,12.36,26.0
3092c0,aruja,39.83,13.56,26.0
003554,goiania,30.71,4.65,26.0
e73bf2,chapeco,30.17,4.83,25.0
bfd938,rio de janeiro,35.94,11.25,25.0
bf9611,ribeirao preto,34.27,9.06,25.0
b7ba85,santo antonio da patrulha,60.32,34.96,25.0
95cca7,palotina,29.03,3.72,25.0
850857,cascavel,28.12,2.93,25.0
822b63,mogi guacu,46.79,21.42,25.0
817f85,tiete,43.05,18.12,25.0
63191e,jundiai,37.32,11.92,25.0
5e106d,santa terezinha de itaipu,32.51,7.26,25.0
5a9b3b,salto,32.31,7.14,25.0
514509,curitiba,40.35,15.68,25.0
50bf89,jaci,34.99,9.62,25.0
3be584,barueri,33.23,8.01,25.0
3364a9,porto velho,40.32,14.83,25.0
2f4b9d,afonso claudio,39.62,14.16,25.0
2063dd,guarapuava,38.14,12.65,25.0
07017d,joao pessoa,34.91,10.18,25.0
f9244d,sao paulo,38.73,15.18,24.0
e603cf,pelotas,30.26,6.66,24.0
d9cd36,bady bassitt,35.02,11.25,24.0
c8c1be,porto belo,32.48,8.5,24.0
bdae67,brasilia,32.3,8.19,24.0
bb135b,sao paulo,31.6,8.0,24.0
ade459,umuarama,32.89,8.41,24.0
69a438,apucarana,38.26,14.64,24.0
657969,estancia velha,31.7,8.11,24.0
5fd924,sao paulo,32.13,7.73,24.0
515d78,campo grande,33.38,9.78,24.0
48efc9,curitiba,34.54,10.83,24.0
446cc0,sao paulo,28.29,4.27,24.0
33fd41,condor,32.51,8.13,24.0
2b402d,irece,30.32,6.0,24.0
044668,osasco,31.27,7.2,24.0
f356c3,canoas,30.45,7.23,23.0
e97299,petropolis,33.19,10.14,23.0
d3e7d3,sao jose dos pinhais,36.51,13.08,23.0
c8665a,pitangueiras,27.47,4.24,23.0
bdf0d0,birigui,30.83,7.99,23.0
bd4ff0,santa maria da serra,45.03,21.99,23.0
ab75b8,tupa,32.33,9.1,23.0
a5259c,ji parana,42.12,19.35,23.0
a36ac0,barueri,32.33,9.65,23.0
9c3c24,caxias do sul,34.09,10.61,23.0
999f6d,sao paulo,27.75,4.69,23.0
941554,sao paulo,30.54,7.56,23.0
9315e4,londrina,30.39,7.28,23.0
889009,lencois paulista,35.5,12.21,23.0
87b442,guaimbe,30.19,6.93,23.0
7bb8fa,bauru,27.43,4.9,23.0
739c7d,campina grande,40.48,17.13,23.0
702835,juiz de fora,24.32,1.8,23.0
6da199,sao paulo,32.27,8.84,23.0
612a74,curitiba,31.44,8.21,23.0
5e25c6,chapeco,29.1,6.05,23.0
54aa84,belo horizonte,36.74,13.48,23.0
333c42,vargem grande do sul,29.87,7.16,23.0
2493dc,brasilia,32.51,9.17,23.0
1d9530,belo horizonte,30.52,7.28,23.0
1c8341,sao paulo,32.71,10.19,23.0
ee27a8,goiania,34.24,11.96,22.0
dd2bdf,belo horizonte,37.34,15.25,22.0
d7d517,sao paulo,35.9,13.54,22.0
d7ab82,atibaia,27.65,5.66,22.0
d598f9,formosa,33.55,11.24,22.0
d4828f,juzeiro do norte,35.98,13.51,22.0
ccada0,pato bragado,32.0,9.91,22.0
c9e5ad,porto alegre,31.15,9.25,22.0
c04d70,niteroi,29.1,7.23,22.0
b98b71,sao paulo,33.76,11.32,22.0
b8578d,blumenau,31.42,9.92,22.0
b274ba,montenegro,28.37,6.35,22.0
b16d3d,estancia velha,28.11,6.53,22.0
a806a4,serra,34.06,12.34,22.0
a09a13,sapiranga,31.2,8.92,22.0
9cea46,araucaria,30.99,8.91,22.0
9a84ba,luziania,32.19,10.51,22.0
7994b0,cariacica / es,30.44,8.7,22.0
6b2612,marialva,38.14,16.56,22.0
541533,belo horizonte,38.25,16.04,22.0
54065e,rio de janeiro,34.54,12.42,22.0
455c56,luiz alves,37.1,14.97,22.0
41ab63,belo horizonte,39.51,17.69,22.0
35281d,sao paulo,27.18,5.27,22.0
24c1de,serra redonda,35.22,12.78,22.0
17998c,belo horizonte,30.12,8.39,22.0
fe19dc,uberaba,28.35,7.0,21.0
f650a9,ararangua,36.03,15.32,21.0
f43589,curitiba,31.69,10.68,21.0
f3041c,itauna,25.14,4.53,21.0
f114dc,cambe,31.95,10.48,21.0
ec5c1d,rio de janeiro,32.74,11.67,21.0
ebd141,londrina,27.6,6.12,21.0
d52cbc,garopaba,31.26,10.57,21.0
d101c6,sao paulo,34.6,13.84,21.0
c79151,maringa,29.18,8.65,21.0
c113b8,sao paulo,27.54,6.68,21.0
bf0045,sao paulo,35.27,14.25,21.0
be7a09,toledo,26.55,5.33,21.0
bbf9ad,fortaleza,34.99,13.93,21.0
b9a034,formosa do oeste,31.26,10.67,21.0
b7d5b4,florianopolis,29.22,8.63,21.0
b1fecf,campo grande,31.32,10.69,21.0
9803a4,rio verde,36.39,15.71,21.0
8fe878,paulo lopes,36.69,15.87,21.0
8b181e,goioere,35.61,14.56,21.0
8a4312,sao paulo,27.89,6.66,21.0
8444e5,congonhal,41.87,21.29,21.0
83c465,sao carlos,26.22,5.27,21.0
82bd07,marilia,32.77,12.24,21.0
820c7c,sao paulo,38.27,17.76,21.0
7caa63,sao paulo,23.29,2.15,21.0
762ed9,londrina,28.86,7.74,21.0
75745e,brasilia,26.48,5.69,21.0
72c38a,cascavel,29.34,8.15,21.0
710e35,rolandia,35.62,14.31,21.0
70f7e8,sao paulo,28.33,7.03,21.0
5f5a58,ribeirao preto,29.2,7.96,21.0
59417c,limeira,33.18,12.57,21.0
56db5c,palhoca,30.61,9.92,21.0
4da0e4,cornelio procopio,30.47,9.16,21.0
48985c,porto alegre,31.16,10.34,21.0
3fadb4,caxias do sul,30.48,8.98,21.0
3c3017,jaragua do sul,33.39,12.52,21.0
39f776,goiania,36.32,15.3,21.0
2d5186,sao paulo,34.49,13.66,21.0
184a67,joinville,37.31,16.16,21.0
1444c0,lauro de freitas,31.48,10.39,21.0
141440,pitanga,27.51,6.88,21.0
12b967,montenegro,35.62,15.05,21.0
0b3606,jaragua do sul,35.09,14.54,21.0
00d8b1,belo horizonte,28.53,7.23,21.0
ff314f,sao paulo,30.47,10.69,20.0
fcdd82,ribeirao preto,30.6,11.07,20.0
f7496d,sao paulo,32.62,12.47,20.0
f0837c,arvorezinha,31.24,11.72,20.0
f00f5b,sao paulo,32.41,12.16,20.0
e8f6dc,sao paulo,32.43,12.73,20.0
d63c73,piracicaba,25.96,6.29,20.0
d2572f,belo horizonte,30.48,10.13,20.0
c9d2ba,uberlandia,27.98,8.42,20.0
c53bcd,neopolis,32.26,12.38,20.0
c458e2,sao caetano do sul,35.47,15.37,20.0
c13fb4,sao paulo,32.81,12.76,20.0
bc30de,pedreira,31.88,12.24,20.0
ba8e85,santa catarina,30.07,9.85,20.0
b77a27,duque de caxias,28.73,8.47,20.0
b1204c,guarulhos,29.81,9.83,20.0
a35ef4,novo hamburgo,31.78,11.83,20.0
9df575,sao leopoldo,33.7,14.07,20.0
9c5460,loanda,32.23,12.22,20.0
93bef6,sao paulo,30.09,9.93,20.0
8fbd63,santo andre,28.1,8.54,20.0
89bc79,sao paulo,35.35,15.06,20.0
85e7c6,itapema,27.74,7.85,20.0
818d28,sao paulo,33.3,12.94,20.0
6f835f,curitiba,27.35,6.95,20.0
5bf397,sao paulo,23.99,3.5,20.0
4fe2f6,maringa,31.16,10.98,20.0
4e17c6,suzano,34.87,14.78,20.0
4450bd,cotia,27.73,7.31,20.0
43a1d4,maringa,30.32,9.83,20.0
422be4,ibitinga,38.32,18.14,20.0
3f84fe,fazenda rio grande,28.05,8.07,20.0
3ea00e,curitiba,31.07,11.45,20.0
3d62f8,jacarei,37.1,16.73,20.0
3d49bf,montes claros,28.3,8.76,20.0
3a3e46,sao paulo,36.13,16.04,20.0
31e60b,goiania,34.33,14.46,20.0
2b2fed,juiz de fora,24.44,4.91,20.0
1d139e,barrinha,27.35,7.65,20.0
11938f,sao miguel d'oeste,42.57,22.36,20.0
0f7eea,pedrinhas paulista,27.58,8.04,20.0
0cab2d,curitiba,25.47,5.01,20.0
0bfd0b,rio de janeiro,28.27,8.46,20.0
0ade5c,curitiba,27.01,6.88,20.0
fedf2c,sao paulo,29.55,10.69,19.0
f90f77,londrina,26.64,7.39,19.0
f4a04f,santo andre,28.32,9.14,19.0
f30793,araxa,32.01,12.58,19.0
ed9eef,mogi guacu,29.05,10.35,19.0
ec2120,armacao dos buzios,27.15,8.11,19.0
ead2ba,belo horizonte,25.99,7.32,19.0
e9874a,rolandia,26.14,6.68,19.0
e59e57,nova iguacu,24.5,5.35,19.0
e58a5b,rio de janeiro,26.5,7.6,19.0
e58996,sao carlos,27.04,7.72,19.0
e49c26,brejao,30.52,11.65,19.0
de0c78,vargem grande paulista,25.7,6.35,19.0
d66c30,ribeirao das neves,29.16,10.06,19.0
d0d70d,sao bento,27.49,8.99,19.0
cd233f,birigui,28.52,9.34,19.0
b906dd,parana,25.6,6.99,19.0
b7e175,sao paulo,28.18,9.54,19.0
b372ee,sao jose do rio preto,30.97,12.32,19.0
b1aaae,sao paulo,26.97,8.12,19.0
b127ef,sao paulo,29.16,9.85,19.0
b00af2,salvador,34.99,15.55,19.0
ab9db4,paraiso do sul,30.57,11.72,19.0
a53f60,uberlandia,32.41,13.01,19.0
a1544b,jundiai,30.29,10.92,19.0
a150c5,sorocaba,30.07,10.86,19.0
97e995,lorena,35.61,17.01,19.0
8fd3b4,sao jose do rio preto,28.52,9.97,19.0
8de8fe,sao paulo,29.34,10.06,19.0
8c9348,carapicuiba,29.34,10.17,19.0
8a1ff5,sao  jose dos pinhais,29.01,10.34,19.0
7f35f9,valinhos,27.01,7.87,19.0
7a704e,francisco beltrao,26.4,7.51,19.0
799408,sao paulo,32.4,12.97,19.0
78ef7e,santa cruz do sul,28.12,8.66,19.0
713e3a,curitiba,29.47,10.1,19.0
6e1862,rio claro,22.83,3.63,19.0
6dd7dc,palhoca,31.39,12.23,19.0
690215,sao paulo,29.62,10.46,19.0
6861de,curitiba,33.16,13.68,19.0
659e84,eunapolis,28.95,9.77,19.0
643c01,joinville,28.44,9.72,19.0
57df98,santa rita do sapucai,26.01,7.29,19.0
52d765,novo hamburgo,30.59,11.81,19.0
4d9fea,sao paulo,31.81,12.67,19.0
48e5ee,oliveira,30.42,11.24,19.0
44717f,santa rosa,25.03,5.79,19.0
41e0fa,guaruja,29.08,10.24,19.0
41da41,domingos martins,27.72,9.21,19.0
404e1b,juiz de fora,26.61,7.71,19.0
3f2af2,terra boa,38.03,19.11,19.0
33dd94,vila velha,30.65,11.7,19.0
33d677,joinville,28.44,9.25,19.0
3289d8,praia grande,33.22,13.83,19.0
29c322,santa maria,26.11,6.67,19.0
249f0e,rio de janeiro,25.19,6.27,19.0
228e4c,bandeirantes,30.55,11.12,19.0
1d0997,recife,35.74,17.01,19.0
1c742a,belo horizonte,25.33,6.02,19.0
1bb381,sao paulo,32.11,12.76,19.0
1b8b75,sao paulo,33.92,15.0,19.0
1b4516,maringa,26.76,7.77,19.0
fc5a0d,sao paulo,32.31,13.93,18.0
f97e2b,santo antonio de posse,32.15,14.12,18.0
f67efa,curitiba,27.41,9.83,18.0
f19516,artur nogueira,28.16,10.65,18.0
e9c696,sao paulo,26.69,9.09,18.0
e8b3a3,jussara,34.95,16.89,18.0
e882b2,teresopolis,27.76,9.46,18.0
de9727,sarandi,29.72,11.27,18.0
dd39ad,sao paulo,26.82,8.67,18.0
db6a4d,sao paulo,21.3,3.11,18.0
d98eec,porto alegre,26.53,8.54,18.0
d93b84,sao paulo,24.18,5.98,18.0
d8c7ba,floresta,25.94,8.11,18.0
