seller,seller_city,average_review
ff314f,sao paulo,5.0
feb793,sao paulo,5.0
fe19dc,uberaba,5.0
fdf736,pocos de caldas,5.0
fd435f,joao pessoa,5.0
fd312b,votorantim,5.0
fc9088,sao paulo,5.0
fc4751,londrina,5.0
fc0b21,maua,5.0
fb503a,pelotas,5.0
fa5fdc,santo andre,5.0
f9bbdd,sao paulo,5.0
f90f77,londrina,5.0
f8f35a,campanha,5.0
f8e2c1,ribeirao preto,5.0
f8d5c7,sao paulo,5.0
f5b846,sao paulo,5.0
f410c8,caxias do sul,5.0
f3975e,pinhalzinho,5.0
f3862c,ribeirao preto,5.0
f3511c,curitiba,5.0
f30793,araxa,5.0
f3041c,itauna,5.0
f26d70,presidente getulio,5.0
f1fdf2,sao paulo,5.0
ee27a8,goiania,5.0
ede297,curitiba,5.0
edd066,brasilia,5.0
edb58a,piracicaba,5.0
ec9332,sao paulo,5.0
ec8463,florianopolis,5.0
ebd141,londrina,5.0
eb9267,recife,5.0
eb1bf3,diadema,5.0
eaf6d5,sao paulo,5.0
eae9af,sao paulo,5.0
eaaa46,messias targino,5.0
ea846a,aracatuba,5.0
e9c2dc,joinville,5.0
e9874a,rolandia,5.0
e94b64,itapecerica da serra,5.0
e8ff5a,blumenau,5.0
e88f7a,votuporanga,5.0
e82de6,ibitinga,5.0
e76ecc,belo horizonte,5.0
e73bf2,chapeco,5.0
e73232,blumenau,5.0
e72b4f,sao paulo,5.0
e64ddb,sao paulo,5.0
e5def4,amparo,5.0
e59e57,nova iguacu,5.0
e59580,navegantes,5.0
e560e4,belo horizonte,5.0
e5545d,marilia,5.0
e439f7,joinville,5.0
e1c76f,sao paulo,5.0
e1bed6,mogi guacu,5.0
e0b162,pelotas,5.0
e0a3c3,camboriu,5.0
dde698,petropolis,5.0
dda370,sao paulo,5.0
dd9661,campos novos,5.0
dd88d1,lajeado,5.0
dd58ee,curitiba,5.0
dd5450,joinville,5.0
dd39ad,sao paulo,5.0
dd2641,cascavel,5.0
dcb736,osvaldo cruz,5.0
db7ed6,jaguariuna,5.0
db6a4d,sao paulo,5.0
da3fed,mogi das cruzes,5.0
d9cd36,bady bassitt,5.0
d9c349,sao paulo,5.0
d93b84,sao paulo,5.0
d8bf0f,sao paulo,5.0
d8b8f2,formosa,5.0
d85efb,sao paulo,5.0
d7f1cf,belford roxo,5.0
d7827b,londrina,5.0
d63f30,sao paulo,5.0
d598f9,formosa,5.0
d52cbc,garopaba,5.0
d4f91e,guaratingueta,5.0
d3e7d3,sao jose dos pinhais,5.0
d38919,sao paulo,5.0
d36b07,itapetininga,5.0
d263fa,americana,5.0
d2572f,belo horizonte,5.0
d149de,sao paulo,5.0
cf6f6b,sao paulo,5.0
cf1313,rio de janeiro \rio de janeiro,5.0
ce4755,ribeirao preto,5.0
ce3ad9,rio de janeiro,5.0
cd233f,birigui,5.0
cb162c,barueri,5.0
cad10c,avare,5.0
cac4e0,brusque,5.0
c9d2ba,uberlandia,5.0
c963a2,angra dos reis rj,5.0
c8c1be,porto belo,5.0
c8771b,tocantins,5.0
c8665a,pitangueiras,5.0
c8143b,abadia de goias,5.0
c74f14,sao miguel do oeste,5.0
c747d5,pacatuba,5.0
c72467,fortaleza,5.0
c716e0,rio de janeiro,5.0
c52c64,tiradentes,5.0
c3fe93,curitiba,5.0
c3f566,apucarana,5.0
c3e239,sao paulo,5.0
c353f8,porto alegre,5.0
c3251e,porto ferreira,5.0
c18309,rio de janeiro,5.0
c0f3ee,sao paulo,5.0
c0e0b7,laurentino,5.0
c09229,paracambi,5.0
c04d70,niteroi,5.0
c03121,curitiba,5.0
c00396,campo magro,5.0
be7a09,toledo,5.0
be67f7,ibirite,5.0
bdf0d0,birigui,5.0
bd43e1,sao bento do sul,5.0
bbf4a8,curitiba,5.0
bbe87d,sao joao da boa vista,5.0
bba8d0,goiania,5.0
bb7ad8,floranopolis,5.0
