seller,order_status,number_of_orders
0015a8,delivered,3
001cca,delivered,234
001cca,shipped,5
001e6a,canceled,1
002100,delivered,54
002100,shipped,1
003554,delivered,1
004c9c,delivered,168
004c9c,shipped,2
00720a,delivered,26
00ab3e,delivered,1
00d8b1,delivered,1
00ee68,delivered,172
00fc70,delivered,135
010543,delivered,2
010da0,delivered,5
011b0e,delivered,2
01266d,delivered,3
013900,delivered,26
014c06,delivered,15
014d9a,delivered,12
0176f7,delivered,38
0176f7,shipped,1
01bcc9,delivered,10
01bcc9,shipped,1
01c97e,delivered,12
01cf7e,delivered,65
01cf7e,shipped,2
01ed25,delivered,5
01fd07,delivered,39
01fdef,delivered,130
01fdef,shipped,1
0241d4,delivered,246
0249d2,delivered,11
024b56,delivered,8
028872,delivered,3
02a227,processing,1
02a227,canceled,1
02b72c,delivered,4
02c988,delivered,16
02c988,shipped,1
02d352,delivered,16
02dcd3,delivered,15
02dcd3,shipped,2
02ecc2,delivered,24
02f583,delivered,30
02f623,delivered,44
0307f7,delivered,6
0307f7,canceled,1
033618,delivered,2
034b93,delivered,8
038b75,delivered,2
039b29,delivered,9
039e6a,delivered,5
03a2a6,delivered,9
03bd47,delivered,3
0417b0,delivered,13
042573,delivered,3
04308b,delivered,92
04308b,shipped,2
0432ea,delivered,87
0432ea,canceled,2
0432ea,processing,1
044668,delivered,4
048438,delivered,2
048c27,delivered,50
048c27,shipped,1
04aa0a,delivered,17
04aba0,delivered,15
04aba0,shipped,1
04e38a,delivered,24
04e38a,shipped,4
04ee0e,delivered,1
04fdea,delivered,8
04fdea,invoiced,1
04fdea,canceled,1
050904,delivered,96
050904,shipped,2
052577,processing,3
052577,delivered,1
054694,delivered,21
054694,shipped,1
056b4a,delivered,65
056b4a,shipped,1
057035,delivered,11
057300,delivered,4
058cb5,delivered,12
058cb5,shipped,1
058fd0,delivered,63
058fd0,shipped,1
05a48c,delivered,1
05a940,delivered,9
05a940,processing,1
05aebc,delivered,2
05ca86,delivered,1
05d217,delivered,66
05e107,delivered,8
05f51e,delivered,60
05f51e,processing,2
05f51e,shipped,1
05feb9,delivered,6
05ff92,delivered,60
05ff92,shipped,2
062c32,delivered,2
062ce9,delivered,59
062ce9,invoiced,1
06532f,delivered,8
06532f,shipped,1
06579c,delivered,70
06579c,shipped,2
066a69,delivered,72
066a69,shipped,1
066a69,invoiced,1
069114,delivered,53
069261,delivered,4
06a2c3,delivered,402
06a2c3,shipped,3
06bb3a,delivered,18
06df0c,delivered,30
06e5ee,delivered,93
06e5ee,processing,1
06e5ee,invoiced,1
07017d,delivered,9
070d16,delivered,38
070d16,shipped,1
0725b8,delivered,36
0725b8,processing,1
0743a0,delivered,4
0747d5,delivered,13
0747d5,invoiced,2
076174,delivered,7
077c5f,delivered,6
0791d9,delivered,11
079d29,delivered,10
07a9bc,delivered,1
07bf96,delivered,24
07d75e,delivered,2
07de60,delivered,9
07e8e8,delivered,2
080102,delivered,128
080102,shipped,1
080102,processing,1
080199,delivered,83
08061d,delivered,4
08084d,delivered,12
081acf,delivered,8
082e0b,delivered,23
085f6f,delivered,8
08633c,delivered,97
0873d9,delivered,6
0885aa,delivered,29
0885aa,shipped,1
0887a9,delivered,12
08ad4a,delivered,7
08cdba,delivered,6
08d094,delivered,12
08d1c9,delivered,1
08d2d6,delivered,20
08d2d6,shipped,1
08f581,delivered,3
091065,delivered,2
0936e1,delivered,2
093805,delivered,27
094ced,delivered,19
0951a6,delivered,7
09883d,delivered,4
09883d,processing,1
099095,delivered,19
099095,shipped,1
09bad8,delivered,5
09f952,delivered,56
0a198e,delivered,1
0a82f5,delivered,2
0a85eb,delivered,12
0aa124,invoiced,1
0aa124,canceled,1
0aa220,delivered,11
0ac420,delivered,14
0ad80d,delivered,6
0adac9,delivered,134
0adac9,canceled,7
0adac9,shipped,1
0ade5c,delivered,2
0aea4c,delivered,8
0af2ab,delivered,1
0af977,delivered,2
0afccd,delivered,24
0afccd,invoiced,1
0b0910,delivered,1
0b0ddb,delivered,3
0b18d6,delivered,14
0b1ca3,delivered,1
0b35c6,delivered,77
0b35c6,shipped,1
0b3606,delivered,15
0b3f27,delivered,2
0b46f7,delivered,1
0b64bc,delivered,4
0b90b6,delivered,209
0b90b6,shipped,1
0bae85,delivered,145
0bae85,shipped,1
0bb272,delivered,1
0bb738,delivered,30
0bb738,invoiced,1
0be8ff,delivered,175
0be8ff,canceled,3
0be8ff,shipped,2
0bebbb,delivered,9
0bf015,delivered,62
0bfd0b,delivered,6
0c7533,delivered,73
0c7f30,delivered,5
0c8380,delivered,218
0c8380,shipped,2
0cab2d,delivered,3
0cbcee,delivered,39
0cbcee,shipped,1
0cbcee,canceled,1
0d33a5,delivered,24
0d4c82,delivered,4
0d83f8,delivered,8
0d85bb,delivered,58
0daf51,delivered,2
0db783,delivered,137
0dd184,delivered,193
0ddefe,delivered,10
0df398,delivered,88
0df398,canceled,1
0dfbed,delivered,3
0e44d1,delivered,6
0e72c1,delivered,3
0e982c,delivered,7
0e982c,invoiced,5
0ea22c,delivered,265
0ea22c,shipped,2
0ea22c,invoiced,2
0eaa7e,delivered,15
0ebd97,delivered,32
0ec28c,delivered,4
0ed6ce,delivered,42
0ed6ce,shipped,1
0ee4fb,delivered,1
0ef83d,delivered,55
0f0c98,delivered,4
0f519b,delivered,1
0f7eea,delivered,3
0f80a4,delivered,1
0f9458,delivered,1
0fe2d9,delivered,3
