seller,seller_city,total_revenue,number_of_orders
4869f7,guariba,249640.7,1132
7c67e1,itaquaquecetuba,239536.44,982
532435,lauro de freitas,235856.68,358
4a3ca9,ibitinga,235539.96,1806
fa1c13,sumare,204084.73,585
da8622,piracicaba,185192.32,1314
7e93a4,barueri,182754.05,336
1025f0,sao paulo,172860.69,915
7a67c8,sao paulo,162648.38,1160
955fee,sao paulo,160602.68,1287
656021,sao paulo,151265.77,1854
1f50f9,sao jose do rio preto,142104.98,1404
46dc3b,rio de janeiro,139909.69,521
a1043b,ilicinea,133745.25,718
cc419e,santo andre,129957.41,1706
620c87,petropolis,128909.71,740
5dceca,santa barbara d´oeste,125816.92,325
7d13fc,ribeirao preto,122261.02,565
3d871d,campo limpo paulista,117347.71,1080
edb1ef,teresopolis,83189.65,166
ccc4bb,curitiba,79261.6,187
cca307,ibitinga,78381.29,712
858105,guarulhos,74584.3,387
f7ba60,sao bernardo do campo,72736.01,219
fe2032,campinas,70680.95,294
de722c,recife,65112.75,339
7ddcbb,sao paulo,63525.29,334
04308b,bombinhas,63184.99,94
f8db35,salto,63079.8,667
218d46,ribeirao preto,62737.54,388
522620,cascavel,61829.81,174
25c5c9,itauna,61679.33,158
17e34d,riberao preto,61603.2,255
37be5a,sao paulo,61433.88,272
ceaec5,sao paulo,59249.02,203
b2ba37,sao paulo,58173.02,337
17f51e,sao paulo,57812.43,56
f5a590,sao bernardo do campo,57440.94,117
77530e,curitiba,55063.99,320
816025,ibitinga,54871.5,385
ea8482,sao paulo,54722.29,1146
e882b2,teresopolis,53913.76,57
4e9229,jacarei,53304.75,420
e97799,praia grande,53302.66,657
966cb4,diadema,52935.87,75
2bf6a2,nova friburgo,51629.49,30
4d6d65,jau,51486.31,369
c826c4,guarulhos,51217.22,354
d91fb3,praia grande,50180.51,535
391fc6,ibitinga,50142.83,526
17a053,mogi guacu,49531.57,125
c3cfdc,curitiba,49127.81,278
06a2c3,sao luis,48550.24,392
850f4f,sao paulo,48469.77,187
b33e7c,pradopolis,47710.24,152
eeb6de,lages,46795.28,83
712e6e,videira,46704.13,79
2eb702,campinas,45860.1,202
ba9096,guarulhos,45523.5,38
634964,rio de janeiro,45420.53,268
714254,penapolis,44289.16,319
834f32,araraquara,44207.42,66
b839e4,sao caetano do sul,43749.93,33
c3867b,guara,42197.18,245
1835b5,ibitinga,42086.16,423
dbc221,borda da mata,41789.16,406
7299e2,araguari,41581.08,338
7178f9,videira,41478.92,203
c70c1b,hortolandia,40476.28,261
53e4c6,pedreira,40036.19,473
855668,itatiba,40005.36,312
e9bc59,maringa,39031.56,216
871421,porto alegre,38314.31,305
0241d4,curitiba,38251.61,238
59417c,limeira,37657.77,18
76d5af,sao paulo,37541.56,131
9c0e69,sao jose dos campos,36602.96,157
88460e,maringa,36543.1,248
70a12e,jacarei,36465.44,315
252851,osasco,36438.75,161
1554a6,monte siao,35850.79,247
7681ef,guarulhos,34857.93,59
70eea0,itatiba,34764.17,108
5c2436,sao paulo,34637.66,98
001cca,cariacica,33934.17,200
e59aa5,curitiba,33803.97,70
190026,ibitinga,33120.59,411
9f5056,sao paulo,32391.86,397
d1c281,ibitinga,32339.06,215
0b90b6,maringa,32207.64,164
59b22a,uberlandia,32082.07,125
d23019,londrina,31954.84,39
a3a38f,joinville,31775.27,254
8b321b,sao paulo,31692.05,943
900ba8,salto,31467.94,88
